中级周期,行情种类,模式种类,名字,可做周期,模式胜率高场景,确定性,模式条件,上车,买点,卖点,仓位,惩罚机制及心态管理,买卖点惩罚机制,,,,,,,,,,,,,,,,
"B,C,龙头A",一波流,接力,新题材同身位,"混沌,主升,强修复","高位分歧，高低切
市场无主流题材",高,"新题材爆发，低位出现10亿以上
大单一字情况","有一字做首个换手，20cm套利
新高小票最好","打板
竞价直接买","次日一字封单减少竞价卖，次日超预期
有封单则格局",3层以下,"1本月模式外交易超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱","1本月不按买卖点超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱",,,,,,,,,,,,,,,,
"B,C,龙头A","一波流,龙头接力","题材主线,接力",接力打破空间,"主升,强修复","2周以上没空间突破
指数背离，情绪报团阶段",高,打破空间,打破近期空间压制(最少2周没新高),打板,有利润垫则30分钟不上水，或者跌停卖,5层,"2本月仓位不按计划执行超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱","2本月仓位不按买卖点超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱",,,,,,,,,,,,,,,,
"B,C,龙头A",一波流,接力,分歧转一致,"混沌,主升,强修复","情绪分歧2-3天
有板块支持
连板指数平台突破
核心板块分歧有修复预期",高,"1个股分歧转一致，有板块支持
2 情绪连续分歧后有修复预期",个股爆量分歧转一致,打板,次日不弱转强卖,3层,,,,,,,,,,,,,,,,,,
"C,龙头A",一波流,接力,龙头补涨,"混沌,主升,强修复","高低切，板块强势，龙头
确认次日
主升分歧日",中,"龙头不能出现大跌，
分支龙必须板块3个涨停反推
主升分歧日,或者龙头分歧日，主线首板
同题材做首板，不同题材做2板","题材修复，龙头涨太高抗分歧或者龙头加速
，1进2爆量大高开",打板，需要提前扫,"次日不加速，竞价卖
次日不弱转强，竞价卖",3层以下,,,,,,,,,,,,,,,,,,
"C,龙头A",一波流,接力,切换,"混沌,主升,强修复","龙头连续加速有大分歧可能
题材有一定持续性
接力无打板大面",中,"1，高度不过3板，板块有持续性
2 与龙头不同题材，且属于被切换的板块
3 如果板块不强则需要个股主动，强势","板块有持续性，龙头负反馈，
必须分歧转一致
龙头正反馈，可以做弱转强",打板，半路,次日不加速，竞价卖,3层以下,"我们在规则上必须坚持，在期望上必须有弹性。我们必须坚持自己的规则，
这样才能得到信任自己的感觉，在没有什么限制的环境中保护自己。
我们的期望必须有弹性，这样我们才能最清楚且最客观地看出从市场
本身的角度要传达给我们的信息。但是一般交易者的做法很可能正好相反，
即在规则上有弹性，却坚持自己的期望。交易者越坚持期望，越可能扭曲
违反或打破自己的规则。因为为了满足自己的期望，就要放弃市场所提供的一切。","你需要收集的唯一证据是你用来界定优势的变量是否存在，你利用优势范围以外
的“其他信息”决定是否从事交易时，就是在自己的交易系统中增加随机的变量。
增加随机变量会使你极为难以判定什么有效或什么没有效，如果你根本不确定
自己的优势是否有效，那么你对这种优势不会太有信心。你缺乏信心的程度多高，
恐惧的程度就会有多大",,,,,,,,,,,,,,,,
"趋势A,C,龙头A","一波流,纯趋势,龙头接力","题材主线,接力",辨识度交易,"混沌,主升,强修复","打板大面少，情绪修复
热股指数上升趋势",高,"板块强势/情绪中等以上修复，
满足这俩个其中一个，有容量有人气
必须主动强势","板块分歧或者情绪分歧，
需要做爆量分歧转一致
板块强势，或者情绪修复，竞价弱转强",打板，半路,次日不主动，弱势则走,5层,,,,,,,,,,,,,,,,,,
"趋势A,C",纯趋势,趋势主线,趋势龙头,"主升,强修复,趋势主升","1指数共振，成交额放大
2 题材主线
3 地位市场阵眼
4主线首次分歧低吸",高,"1诞生于指数转折点，共振
2 题材是趋势主线
3 观察个股板块龙头在接力还是趋势里面","买点1：指数转折点当天
买点2：板块强势，日内3日线买入
买点3：首次碰5日线",打板，半路，低吸,收盘破5日线走，介入早最少持股5天,满,,,,,,,,,,,,,,,,,,
"趋势A,C",纯趋势,趋势主线,趋势补涨,"主升,强修复,趋势主升","1指数共振，成交额放大
2 题材主线
3 地位容量高度之一
4主线首次分歧低吸",中,"1题材是趋势主线
2 题材趋势龙或者容量龙里选出的标
3 日内题材回流，补涨必须缩量主动标
","买点1：主线修复，或者强更强
买点2：趋势没破，大阴尾盘买入
买点3：首次碰5日线低吸
","半路,低吸，打板没有性价比","收盘破3日线走，
阵眼大跌，快走",5层,,,,,,,,,,,,,,,,,,
"趋势A,C",纯趋势,趋势主线,板块ETF,"主升,强修复,趋势主升","1主线
2指数上升趋势
3主升分歧选抗跌的ETF",高,"1买入主线的ETF
2 买不了趋势主线的核心股的时候最佳选择",板块是主线,主线确认当天直接满仓ETF,指数走弱，板块退潮,满,,,,,,,,,,,,,,,,,,
"B,D",纯趋势,庄股,庄股,混沌,"1不带板块
2日K5日线上，不碰10日线
3底部筹码稳定
",中,"1分歧第2天早上极杀低吸
2 指数或者情绪分歧2天后分时低吸",首次触碰5日线，日内分歧,首次触碰5日线，日内分歧,收盘价破5日线，或者筹码峰上移,5层,,,,,,,,,,,,,,,,,,
,短板：趋势主线，共振行情,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,注意：共振行情除非有题材主线或者龙头要不不做接力,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,连亏2天，空仓2天,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,龙头韧性，补涨强度主动性，切换位置低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,主线最抗跌，共振时最强,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,弱的不再弱，强的才能更强,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,弱的再弱，强的次日补跌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,纯庄股可低吸，其他不能低吸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
