日期,账户波动,持仓,转折点,大周期,"仓位
建议",量能,"行情
种类",接力,科技容量,情绪趋势,模式,指数,节点,"超预期方向
（风格，题材)",小票亏效,大票亏效,一字,断板,"接力赚效
（>3%)","9点45打板
大面数","尾盘面数
","竞价
大面数","3分钟
大面数",持仓1,模式外,错误仓位
,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/11/19,,,,,,,,,,,,震荡开,退潮,,强,弱,减少,"无明显反核,大面数增加",,,,,,,,
2024/11/20,,,,,,,,,,,,震荡开,强修复,,弱,弱,增加,"多核心反核,大面数减少",,,,,,预期内,,
2024/11/21,,,,,,,,,,,,震荡开,反弹加速转衰竭,,弱,弱,增加,"无明显反核,无大面",,,,,,预期内,,
2024/11/22,,,,,,,,,,,,震荡开,退潮,,强,弱,减少,"多核心反核,大面数增加",,,,,,预期内,,
2024/11/25,,,,,,,,,,,,震荡开,中等局部修复,,强,弱,增加,"多核心反核,大面数增加",,,,,,预期内,,
2024/11/26,,,,,,,,,,,,震荡开,退潮,,强,强,增加,"无明显反核,大面数增加",,,,,,不及预期,,
2024/11/27,,,,,,,,,,,,震荡开,中等局部修复,,强,强,减少,"多核心反核,大面数减少",,,,,,预期内,,
2024/11/28,,,,,,,,,,,,震荡开,反弹加速转衰竭,,弱,弱,增加,"多核心反核,大面数减少",,,,,,预期内,,
2024/11/29,,,,,,,,,,,,震荡开,中等局部修复,,强,弱,增加,"多核心反核,大面数增加",,,,,,预期内,,
2024/12/2,,,,,,,,,,,,震荡开,反弹加速,,强,弱,减少,"大面数减少,无明显反核",,,,,,预期内,,
2024/12/3,,,,,,,,,,,,震荡开,反弹加速转衰竭,,强,弱,增加,"无明显反核,大面数增加",,,,,,预期内,,
2024/12/4,,,,,,,,,,,,震荡开,退潮,,强,弱,增加,"多核心反核,大面数增加",,,,,,预期内,,
2024/12/5,,,,,,,,,,,,震荡开,中等局部修复,,弱,弱,减少,"多核心反核,大面数增加",,,,,,预期内,,
2024/12/6,,,,,,,,,,,,震荡开,日内分歧未转一致,,弱,弱,减少,"无明显反核,大面数增加",,,,,,预期内,,
2024/12/9,,,,,,,,,,,,震荡开,小退潮,,强,强,减少,"无明显反核,大面数增加",,,,,,超预期,,
2024/12/10,,,,,,,,,,,,大高开,高潮,,弱,弱,增加,"多核心反核,无大面",,,,,,不及预期,,
2024/12/11,,,,,,,,,,,,震荡开,小退潮,,强,弱,减少,"无明显反核,大面数增加",,,,,,不及预期,,
2024/12/12,,,,,,,,,,,,震荡开,强修复,,弱,弱,增加,"多核心反核,大面数增加",,,,,,预期内,,
2024/12/13,,,,,,,,,,,,大低开,退潮,,强,强,减少,"少核心反核,大面数增加",,,,,,超预期,,
2024/12/16,,,,,,,,,,,,震荡开,大退潮,,强,弱,增加,"少核心反核,大面数增加",,,,,,预期内,,
2024/12/17,,,,,,,,,,,,震荡开,冰点,,强,弱,减少,"少核心反核,大面数增加",,,,,,不及预期,,
2024/12/18,,,,,,,,,,,,大高开,中等局部修复,,强,弱,减少,"多核心反核,大面数增加",,,,,,预期内,,
2024/12/19,,,,,,,,,,,,大低开,混沌,,强,弱,减少,"大面数减少,无明显反核",,,,,,预期内,,
2024/12/20,,,,,,,,,,,,震荡开,混沌,,强,弱,增加,"无明显反核,大面数增加",,,,,,,,
2024/12/24,,,,,,,,,,,,震荡开,弱修复,,弱,弱,增加,"少核心反核,大面数减少",,,,,,,,
2024/12/25,,,,,,,,,,,,震荡开,退潮,,弱,弱,减少,多核心反核,,,,,,不及预期,,
2024/12/26,,,,,,,,,,,,震荡开,强修复,,弱,弱,增加,"少核心反核,大面数增加",,,,,,,,
2024/12/27,,,,,,,,,,,,震荡开,反弹加速,,弱,弱,增加,大面数增加,,,,,,超预期,,
2024/12/30,,,,,,,,,,,,震荡开,反弹加速转衰竭,,弱,弱,减少,"少核心反核,大面数增加",,,,,,,,
2024/12/31,,,,,,,,,,,,震荡开,弱修复,,强,弱,减少,"多核心反核,大面数减少",,,,,,,,
2025/1/2,,,,,,,,,,,,震荡开,主升,,强,弱,增加,"少核心反核,大面数增加",,,,,,超预期,,
